,precision,recall,f1-score,support
0,0.9357798165137615,0.7422535211267606,0.8278570493520094,8520.0
1,0.32264034546576187,0.7067567567567568,0.44303261329944943,1480.0
accuracy,0.737,0.737,0.737,0.737
macro avg,0.6292100809897617,0.7245051389417587,0.6354448313257295,10000.0
weighted avg,0.8450351747986575,0.737,0.7709030328162305,10000.0
