,precision,recall,f1-score,support
0,0.9380706025562995,0.7235915492957746,0.8169891333156638,8520.0
1,0.3130105017502917,0.725,0.4372453137734311,1480.0
accuracy,0.7238,0.7238,0.7238,0.7238
macro avg,0.6255405521532956,0.7242957746478873,0.6271172235445475,10000.0
weighted avg,0.8455617076370103,0.7238,0.7607870480234135,10000.0
