,precision,recall,f1-score,support
0,0.94224396402083,0.7008215962441314,0.8037961903479841,8520.0
1,0.3041223041223041,0.7527027027027027,0.4332101886058721,1480.0
accuracy,0.7085,0.7085,0.7085,0.7085
macro avg,0.623183134071567,0.7267621494734171,0.6185031894769282,10000.0
weighted avg,0.8478019583558482,0.7085,0.7489494620901516,10000.0
