,precision,recall,f1-score,support
0,0.9416483170808431,0.702699530516432,0.8048124747949994,8520.0
1,0.3045030203185063,0.7493243243243243,0.43303397110503705,1480.0
accuracy,0.7096,0.7096,0.7096,0.7096
macro avg,0.6230756686996747,0.7260119274203781,0.6189232229500182,10000.0
weighted avg,0.8473508131600173,0.7096,0.7497892562488849,10000.0
