,RandomForestClassifier,ExtraTreesClassifier
n_estimators,"[50, 100, 150, 200]","[50, 100, 150, 200]"
max_depth,"[2, 3, 6, 10]","[2, 3, 4, 10]"
min_samples_split,"[2, 4, 8]","[2, 4, 8]"
min_samples_leaf,"[2, 4, 8]","[2, 4, 8]"
