,Model,Train Accuracy,Test Accuracy,Recall,ROC AUC,Precision,F1 Score
0,RandomForestClassifier,0.8006293747426622,0.737,0.7067567567567568,0.7245051389417587,0.32264034546576187,0.44303261329944943
1,ExtraTreesClassifier,0.7440444679724723,0.7085,0.7527027027027027,0.7267621494734171,0.3041223041223041,0.4332101886058721
